# Natures
religion_cosmopolitan;Cosmopolitan;Cosmopolite;Weltoffen;;Cosmopolita;;;;;;;;;x
religion_adventuring;Daring;Hardiesse;Kühnheit;;Atrevido;;;;;;;;;x
religion_adventuring_desc;The gods praise bravery and a free spirit. They encourage even the smallest man to reach for the stars.;Les dieux aiment la bravoure et les esprits libres. Ils encouragent même les plus petits hommes à viser les étoiles.;Die Götter loben Tapferkeit und einen freien Geist. Sie ermutigen sogar den kleinsten Mann, nach den Sternen zu greifen.;;Los dioses alaban la valentía y el espíritu libre, y animan hasta al hombre más pequeño a alcanzar las estrellas.;;;;;;;;;x
religion_animistic;Animistic;Animiste;Animistisch;;Animista;;;;;;;;;x
religion_animistic_desc;Spirits and magic are all around us, hiding inside every tree, under every river, flying above our heads and beneath the very earth we walk on.;Les esprits et la magie sont tout autour de nous, cachés dans chaque arbre, dans chaque rivière, sous la terre sur laquelle nous marchons et volant au-dessus de nos têtes.;Geister und Magie existieren überall um uns herum und verstecken sich in jedem Baum, unter jedem Fluss, fliegen über unsere Köpfe und kriegen unter der Erde.;;Los espíritus y la magia nos rodean, se ocultan dentro de cada árbol, dentro de cada río, nos sobrevuelan y se hallan bajo la misma tierra que pisamos.;;;;;;;;;x
religion_animistic_feature;Upon reaching adulthood, characters perform a rite of passage.;À l'âge adulte, les personnages effectuent un rite de passage.;Beim Erreichen des Erwachsenenalters führen Charaktere den Übergangsritus durch.;;Los personajes realizan un rito de iniciación al llegar a la edad adulta.;;;;;;;;;x
religion_astrology;Astrology;Astrologie;Astrologie;;Astrología;;;;;;;;x
religion_astrology_desc;The gods wrote our Fate in the stars. We only need to look up to know what lies within us.;Les dieux écrivent notre Destin dans les étoiles. Nous avons seulement besoin de lever les yeux pour savoir ce qui se trouve en nous.;Die Götter schrieben unser Schicksal in die Sterne. Wir müssen nur hinaufschauen, um zu wissen, was vor uns liegt.;;Los dioses escriben nuestro destino en las estrellas. Solo necesitamos mirar hacia arriba para saber qué nos espera.;;;;;;;;x
religion_astrology_feature;Characters are born under specific Zodiac signs;Les personnages naissent sous des signes spécifiques du zodiaque;Charaktere werden unter spezifischen Sternzeichen geboren;;Los personajes nacen bajo signos zodiacales específicos;;;;;;;;;x
religion_beatification;Ancestor Veneration;Vénération des ancêtres;Ahnenverehrung;;Veneración a los antepasados;;;;;x
religion_beatification_desc;Our pious ancestors deserve our respect and veneration, it is only right for us to remember them fittingly.;Nos pieux ancêtres méritent notre respect et notre vénération, il est juste que nous nous en souvenions convenablement.;Unsere frommen Vorfahren verdienen unseren REspekt und unsere Verehrung und daher ist es nur richtig, dass wir uns an sie erinnern.;;Nuestros piadosos antepasados merecen respeto y veneración,. Es justo que los recordemos como es debido.;;;;;x
religion_beatification_feature;Can venerate ancestors;Peut vénérer les ancêtres;Kann Vorfahren verehren;;Puede adorar antepasados;;;;;x
religion_equal;Equality;Égalité;Gleichheit;;Igualdad;;;;;;;;;x
religion_equal_desc;Both gods and goddesses rule the heavens, and so it is only just to allow both men and women to rule the Earth.;Les dieux et les déesses règnent sur les cieux et donc c'est simplement juste que les hommes et les femmes règnent sur la terre.;Sowohl Götter als auch Göttinnen regieren im Himmel und so ist es nur gerecht, wenn es sowohl Männern als auch Frauen erlaubt ist, auf der Erde zu herrschen.;;Tanto dioses como diosas gobiernan los cielos, y así es para permitir que hombres y mujeres gobiernen la Tierra.;;;;;;;;;x
religion_equal_feature;Both men and women have equal access to all positions of power;Les hommes et les femmes ont un accès équivalent aux postes de pouvoir;Sowohl Männer als auch Frauen haben Zugriff auf alle Machtpositionen;;Hombres y mujeres tienen igual acceso a todos los puestos de poder;;;;;;;;;x
religion_feature_pyramids;Pyramid Creation;Construction de pyramides;Pyramiden;;Creación de pirámides;;;;;;;;;x
religion_feature_pyramids_desc;Pyramids were built many years ago by the ancients, we too should aspire to such lofty heights.;Les pyramides ont été construites il y a de nombreuses années par les anciens. Nous aussi, nous devrions aspirer à de telles hauteurs.;Die Pyramiden wurden vor vielen Jahren von den Alten gebaut und auch wir sollten nach so hohen Höhen streben.;;Las pirámides fueron construidas hace mucho tiempo por los antiguos. Nosotros también deberíamos a unas alturas tan majestuosas.;;;;;;;;;x
religion_harems;Polygamy;Polygamie;Polygamie;;Poligamia;;;;;;;;;x
religion_harems_desc;It is time that we acknowledge our concubines as full spouses. The children we have with them are just as legitimate as any other.;Il est temps de reconnaître nos concubines comme de vrais conjointes. Les enfants que nous avons avec elles sont aussi légitimes que les autres.;Es ist Zeit, dass wir unsere Konkubinen als vollwertige Ehepartner anerkennen. Die Kinder, die wir mit ihnen haben sind ebenso legitim wie alle anderen.;;Es hora de que reconozcamos a nuestras concubinas como esposas plenas, pues los hijos que tenemos con ellas son tan legítimos como cualquier otro.;;;;;;;;;x
religion_haruspicy;Haruspicy;Haruspicine;Wahrsagertum;;Aruspicina;;;;;;;;;x
religion_haruspicy_desc;Only through the proper use of divination can we discern the will of the gods and lead our armies to victory.;C'est seulement à travers une divination adéquate que nous pouvons discerner la volonté des dieux et mener nos armées à la victoire.;Nur durch den richtigen Gebrauch der Weissagung können wir den Willen der Götter erkennen und unsere Armeen zum Sieg führen.;;Solo mediante el uso apropiado de la adivinación podemos discernir la voluntad de los dioses y llevar a nuestros ejércitos a la victoria.;;;;;;;;;x
religion_haruspicy_feature;Army morale is determined by Haruspicy;Le moral de l'armée est déterminé par l'haruspicine;Die Moral von Armeen wird vom Wahrsagertum bestimmt;;La moral del ejército se determina con augurios;;;;;;;;;x
religion_holy_family;Divine Marriage;Mariage divin;Göttliche Ehe;;Matrimonio divino;;;;;;;;;x
religion_holy_family_desc;The gods have chosen certain bloodlines over others. Such dynasties must be maintained pure if we wish to keep the favor of our creators.;Les dieux ont choisi certaines lignées. De telles dynasties doivent rester pures si nous voulons garder les faveurs de nos créateurs.;Die Götter stellen bestimmte Blutlinien über andere. Solche Dynastien müssen rein bleiben, wenn wir die Gunst unserer Schöpfer behalten wollen.;;Los dioses han optado por ciertos linajes por encima de otros, dinastías que deben mantenerse puras si queremos conservar el favor de nuestros creadores.;;;;;;;;;x
religion_holy_family_feature;Allows holy close-kin marriages;Permet les mariages saints entre proches parents;Erlaubt nur Ehen mit naher Verwandtschaft;;Permite matrimonios sagrados de parientes cercanos;;;;;;;;;x
religion_jizya;Religious Tax;Impôt religieux;Religiöse Besteuerung;;;;;;;;;;;x
religion_jizya_desc;We will allow infidels to live in our lands, but only as long as they pay regularly for their blasphemy by giving us offerings of wealth and resources.;Nous autoriserons les infidèles à vivre sur nos terres, mais seulement à la condition qu'ils paient régulièrement pour leur blasphème en nous donnant des richesses et des ressources.;Wir erlauben Ungläubigen, in unserem Land zu leben, aber nur so lange, wie sie für ihre Blasphemie zahlen können, indem sie uns Opfer in Form von Reichtum und Ressourcen machen.;;Permitiremos que los infieles vivan en nuestras tierras, pero solo mientras paguen regularmente por su blasfemia ofrendándonos riquezas y recursos.;;;;;;;;;x
religion_matriarchal;Enatic Clans;Clans utérins;Klanwahl;;Clanes matriarcales;;;;;;;;;x
religion_matriarchal_desc;It is only through the strong and wise leadership of women that we will be able to fulfill the great destiny that the gods have in store for us.;C'est seulement sous un commandement fort et sage de femmes que nous serons capables d'accomplir la grande destinée que les dieux nous ont réservée.;Es ist nur der starken und entschlossenen Führung der Frauen zu verdanken, dass wir in der Lage sein werden das Schicksal zu erfüllen, dass die Götter für uns bereithalten.;;Solo mediante el liderazgo fuerte y sabio de las mujeres podremos cumplir el gran destino que los dioses nos tienen reservado.;;;;;;;;;x
religion_matriarchal_feature;Men are entirely excluded from all positions of power;Les hommes sont totalement exclus des postes de pouvoir;Männer sind von allen Machtpositionen ausgeschlossen;;Los hombres están totalmente excluidos de todos los puestos de poder;;;;;;;;;x
religion_meritocratic;Meritocracy;Méritocratie;Meritokratie;;Meritocracia;;;;;;;;;x
religion_meritocratic_desc;The gods do not care about the order in which a child is born, they care about the skills and virtues that he shows as a man.;Les dieux ne se soucient pas de l'ordre dans lequel un enfant est né, ils se soucient des capacités et vertus qu'il possède.;Die Götter kümmern sich nicht um die Reihenfolge, in der ein Kind geboren wird, sie kümmern sich nur um die Fähigkeiten und Tugenden, die es als Mann zeigt.;;Los dioses no se preocupan por el orden en que nace un niño, sino por las habilidades y virtudes que muestra como hombre.;;;;;;;;;x
religion_monastic;Monasticism;Monachisme;Mönchstum;;Ascetismo;;;;;;;;;x
religion_monastic_desc;The most devout amongst us should be allowed to abandon their earthly affairs and spend their lives in seclusion and worship.;Les plus dévots parmi nous devraient être autorisés à abandonner les affaires terrestres et passer leur vie en réclusion à faire leurs dévotions.;Dem gläubigsten unter uns sollte es erlaubt sein, seine irdischen Angelegenheiten aufzugeben und sein Leben in Abgeschiedenheit und Anbetung zu verbringen.;;A los más devotos entre nosotros se les debe permitir abandonar sus asuntos terrenales y pasar sus vidas en reclusión y adoración.;;;;;;;;;x
religion_patriarchal;Agnatic Clans;Clans agnatiques;Agnatische Klans;;Clanes agnaticios;;;;;;;;;x
religion_patriarchal_desc;It is only through the strong and resolute leadership of men that we will be able to fulfill the great destiny that the gods have in store for us.;C'est seulement sous un commandement fort et résolu d'hommes que nous serons capables d'accomplir la grande destinée que les dieux nous ont réservée.;Es ist nur der starken und entschlossenen Führung der Männer zu verdanken, dass wir in der Lage sein werden das Schicksal zu erfüllen, dass die Götter für uns bereithalten.;;Solo mediante el liderazgo fuerte y decidido de los hombres podremos cumplir el gran destino que los dioses nos tienen reservado.;;;;;;;;;x
religion_patriarchal_feature;Women are entirely excluded from all positions of power;Les femmes sont totalement exclues des postes de pouvoir;Frauen sind von allen Machtpositionen ausgeschlossen;;Las mujeres están totalmente excluidas de todos los puestos de poder;;;;;;;;;x
religion_relentless;Unrelenting;Implacable;Unerbittlich;;Implacable;;;;;;;;;x
religion_relentless_desc;The gods will only reward the bravest and most fierce amongst the faithful. To die in battle is the greatest of honors a man can aspire to.;Les dieux ont récompensé les plus féroces et braves fidèles. Mourir sur le champ de bataille est le plus grand des honneurs auquel un homme puisse aspirer.;Die Götter belohnen nur die stärksten und mutigsten unter den Gläubigen. Im Kampf zu sterben ist die größte Ehre, die ein Mann anstreben kann.;;Los dioses solo recompensarán a los más feroces y valientes de sus creyentes. Morir en la batalla es el mayor honor al que un hombre puede aspirar.;;;;;;;;;x
religion_relentless_feature;Armies ignore defensive attrition;Les armées ignorent l'attrition défensive;Armeen erleiden keine defensive Zermürbung;;Los ejércitos ignoran el desgaste defensivo;;;;;;;;;x
religion_ritual_sacrifice;Bloodthirsty Gods;Dieux sanguinaires;Blutrünstige Götter;;Dioses sedientos de sangre;;;;;;;;;x
religion_ritual_sacrifice_desc;Our heavenly masters are cruel and ever thirsty. If we do not placate their hunger for flesh, blood, and souls they will turn their wrath upon us.;Nos maîtres célestes sont cruels et ont même faim. Si nous ne les apaisons pas avec de la chair, du sang et des âmes, nous devrons supporter leur courroux.;Unsere himmlische Meister sind grausam und durstig. Wenn wir ihren Hunger nach Fleisch, Blut und Seelen nicht besänftigen, werden sie ihren Zorn auf uns richtigen.;;Nuestros amos celestiales son crueles y siempre están sedientos. Si no aplacamos su hambre de carne, sangre y almas, volverán su ira contra nosotros.;;;;;;;;;x
religion_ritual_sacrifice_feature;Rulers can sacrifice infidel prisoners to gain Piety, unlock ritual decisions and the Flower War casus belli;Les dirigeants peuvent sacrifier des prisonniers infidèles pour gagner de la piété, débloquer des décisions rituelles et le casus belli de la guerre fleurie;Herrscher können ungläubige Gefangene opfern, um Pietät zu erlangen und rituelle Entscheidungen und den Kriegsgrund "Blumenkrieg" freizuschalten;;Los gobernantes pueden sacrificar prisioneros infieles para ganar piedad, desbloquear decisiones rituales y el casus belli Guerra florida;;;;;;;;;x
religion_seafaring;Sea-bound;Maître des mers;Seefahrer;;Límite marítimo;;;;;;;;;x
religion_seafaring_desc;The gods have given us knowledge of the tides and of ship-craft so that we could use it to spread their word to all the corners of the world.;Les dieux nous ont donné la connaissance des marées et des bateaux afin que nous puissions les utiliser pour répandre leur parole dans les quatre coins du monde.;Die Götter haben uns Kenntnis von Gezeiten und dem Bau von Schiffen gegeben, damit wir sie dazu benutzen, um ihr Wort in allen Ecken der Welt zu verbreiten.;;Los dioses nos han dado conocimiento de las mareas y de los barcos para utilizarlo como medio de difundir su palabra a todos los rincones del mundo.;;;;;;;;;x
religion_seafaring_feature;Naval Maintenance is greatly reduced;La maintenance navale est grandement réduite;Flottenunterhalt ist stark reduziert;;Se reduce en gran medida el mantenimiento naval;;;;;;;;;x
religion_stable;Stability;Stabilité;Stabilität;;Estabilidad;;;;;;;;;x
religion_stable_desc;It is blasphemous to doubt the legitimacy of a ruler who has come to power under the favor of the gods. He should be shown immediate loyalty by his subjects.;C'est blasphématoire de douter de la légitimité d'un seigneur qui est venu au pouvoir par la faveur des dieux. Il devrait recevoir une loyauté sans faille de la part de ses sujets.;Es ist blasphemisch an der Legitimität eines Herrschers zu zweifeln, der durch die Gunst der Götter an die Macht gekommen ist. Seine Untertanen sollten ihm unverzüglich die nötige Loyalität erweisen.;;Es blasfemo dudar de la legitimidad de un gobernante que ha llegado al poder por el favor de los dioses. Sus súbditos deben mostrarle lealtad inmediata.;;;;;;;;;x
religion_stable_feature;Rulers do not receive Short Reign penalty;Les seigneurs ne reçoivent pas de pénalité de règne court;Herrscher erhalten keine Strafen auf kurze Herrschaftszeit;;Los gobernantes no reciben penalización por reinado corto;;;;;;;;;x
religion_syncretic;Syncretism;Syncrétisme;Synkretismus;;Sincretismo;;;;;;;;;x
religion_syncretic_desc;The wisest amongst us should be allowed to study other faiths and learn more about the people around us.;Les plus sages d'entre nous devraient être autorisés à étudier d'autres croyances et en apprendre davantage sur les gens autour de nous.;Dem weisesten unter uns sollte erlaubt sein, andere Glaubensrichtungen zu studieren und mehr über die Menschen um uns herum zu erfahren.;;A los más sabios entre nosotros se les debe permitir estudiar otras religiones y aprender más sobre la gente que nos rodea.;;;;;;;;;x
religion_syncretic_feature;Rulers can gain Sympathy towards another religious group;Les seigneurs peuvent avoir de la sympathie envers un autre groupe religieux;Herrscher können Sympathie gegenüber einer anderen Religionsgruppe gewinnen;;Los gobernantes pueden ganar simpatía hacia otro grupo religioso;;;;;;;;;x

religion_feature_family_focus;A Focus on Family;;;;;;;;;;;;;x
religion_feature_family_focus_desc;We must always strive to keep our kin close and our families growing.;;;;;;;;;;;;;x
religion_feature_gurus;Gurus and Good Living;;;;;;;;;;;;;x
religion_feature_gurus_desc;The faithful should seek out wise teachers to teach them to live a better life.;;;;;;;;;;;;;x
religion_feature_reincarnation;Rewards in the Next Life;;;;;;;;;;;;;x
religion_feature_reincarnation_desc;Our warriors will fight without fear, safe in the knowledge that those that serve the faith will be reborn into a better life.;;;;;;;;;;;;;x
religion_feature_self_improvement;Self-Improvement;;;;;;;;;;;;;x
religion_feature_self_improvement_desc;Not all among us are perfect, but we can all strive towards perfection.;;;;;;;;;;;;;x


# Unique Doctrines
religion_feature_aztec;Invaders;Envahisseurs;Invasoren;;Invasores;;;;;;;;;x
religion_feature_aztec_desc;Our warriors must be ruthless and our armies unyielding if we wish to satiate the gods with the bountiful cattle roaming this New World.;Nos guerriers doivent être impitoyables et nos armées inflexibles si nous voulons satisfaire les dieux avec le bétail de ce Nouveau Monde.;Unsere Krieger müssen rücksichtslos und unsere Armeen unnachgiebig sein, wenn wir die Götter mit dem reichhaltigen Vieh besänftigen wollen, dass durch diese Neue Welt streift.;;Nuestros guerreros deben ser despiadados y nuestros ejércitos inflexibles si queremos saciar a los dioses con el abundante ganado que recorre este Nuevo Mundo.;;;;;;;;;x
religion_feature_aztec_feature;Rulers follow the Aztec principles of human sacrifices, seafaring and relentlessness;Les seigneurs suivent les principes aztèques des sacrifices humains, de la navigation et de l'implacabilité;Herrscher folgen den aztekischen Prinzipien von Menschenopfern, Seefahrt und Erbarmungslosigkeit;;Los gobernantes siguen los principios aztecas de sacrificios humanos, navegación e implacabilidad;;;;;;;;;x
religion_feature_baltic;Defenders of Dievas;Défenseurs de Dievas;Beschützer von Dieva;;Defensores de Dievas;;;;;;;;;x
religion_feature_baltic_desc;We must stand strong to survive the assaults of the new religions. Only the best among us will survive to preserve the memory of the gods.;Nous devons rester forts pour survivre aux assauts des nouvelles religions. Seuls les meilleurs d'entre nous survivront pour préserver la mémoire des dieux.;Wir müssen stark sein, um die Angriffe der neuen Religion zu überleben. Nur die Besten unter uns werden überleben, um die Erinnerung an die Götter zu bewahren.;;Debemos mantenernos firmes para sobrevivir a los ataques de las nuevas religiones. Solo los mejores entre nosotros sobrevivirán para preservar la memoria de los dioses.;;;;;;;;;x
religion_feature_baltic_feature;Rulers can designate heirs and are hard to convert;Les seigneurs peuvent désigner des héritiers et sont difficiles à convertir;Herrscher können Erben bestimmen und sind schwer zu konvertieren;;Los gobernantes pueden nombrar herederos y son difíciles de convertir;;;;;;;;;x
religion_feature_bon;Harmonious;Harmonie;Harmonisch;;Armoniosa;;;;;;;;;x
religion_feature_bon_desc;A balance of old and new traditions is the imperative requirement for an enlightened future, blessed by the favor of the gods.;Un équilibre d'anciennes et nouvelles traditions est un prérequis pour un futur béni par la faveur des dieux.;Ein Gleichgewicht zwischen alten und neuen Traditionen ist eine zwingende Voraussetzung für eine Zukunft, die durch die Gunst der Götter gesegnet ist.;;Un equilibrio entre las viejas y nuevas tradiciones es el requisito imperioso para un futuro brillante, bendecido por el favor de los dioses.;;;;;;;;;x
religion_feature_bon_feature;Close-kin marriage is forbidden and Heir Designation is allowed;Le mariage entre proches parents est interdit et la désignation de l'héritier est autorisée;Ehen mit naher Verwandtschaft sind verboten und die Auswahl eines Erben ist erlaubt;;El matrimonio de parientes cercanos está prohibido y se pueden nombrar herederos;;;;;;;;;x
religion_feature_finnish;Survivors of Ukko;Survivants d'Ukko;Überlebende von Ukko;;Supervivientes de Ukko;;;;;;;;;x
religion_feature_finnish_desc;For too long our tribes have squabbled against each other while our real enemies besieged us from outside. We must stand united or disappear forever!;Pendant trop longtemps, nos tribus se sont disputées tandis que nos vrais ennemis nous assiégeaient. Nous devons rester unis ou disparaître pour toujours !;Zu lange stritten unsere Stämme, während unsere wirklichen Feine uns von außen belagerten. Wir müssen vereint bleiben oder für immer untergehen.;;Demasiado tiempo nuestras tribus se han enfrentado entre ellas mientras nuestros verdaderos enemigos nos asediaban desde fuera. ¡Debemos permanecer unidos o desaparecer para siempre!;;;;;;;;;x
religion_feature_finnish_feature;Rulers receive no Short Reign penalty and are hard to convert;Les seigneurs ne reçoivent aucune pénalité de règne court et sont difficiles à convertir;Herrscher erhalten keine Strafen für kurze Herrschaftszeit und sind schwer zu konvertieren;;Los gobernantes no reciben ninguna penalización por un reinado corto y son difíciles de convertir;;;;;;;;;x
religion_feature_hellenic;Civilized;Civilisé;Zivilisiert;;Civilizada;;;;;;;;;x
religion_feature_hellenic_desc;We must remember that the gods are hardly ever interested in mortal affairs and that we should endeavor to maintain a detached attitude towards faith.;Nous devons nous rappeler que les dieux s'intéressent rarement aux affaires mortelles et que nous devrions nous efforcer de maintenir une attitude détachée vis-à-vis de la foi.;Wir müssen daran denken, dass sich die Götter kaum für sterbliche Angelegenheiten interessieren und wir uns daher bemühen sollten, eine rationale und distanzierte Haltung gegenüber dem Glauben zu bewahren.;;Debemos recordar que los dioses casi nunca están interesados en los asuntos mortales y que debemos esforzarnos por mantener una actitud racional y desapegada hacia la fe.;;;;;;;;;x
religion_feature_hellenic_feature;Rulers follow the Hellenic principles of syncretism and meritocracy;Les seigneurs suivent les principes helléniques du syncrétisme et de la méritocratie;Herrscher folgen den hellenischen Prinzipien des Synkretismus und der Meritokratie;;Los gobernantes siguen los principios helénicos de sincretismo y meritocracia;;;;;;;;x
religion_feature_norse;Sons of Ragnarok;Fils de Ragnarök;Söhne von Ragnarök;;Hijos del Ragnarok;;;;;;;;;x
religion_feature_norse_desc;We shall not wane into obscurity without a fight! The end times are near. Our people must prove their worth if they are ever to enter Valhalla!;Nous ne sombrerons pas sans nous battre ! La fin des temps est proche. Notre peuple doit prouver sa valeur s'il veut entrer au Valhalla !;Wir werden nicht ohne Kampf in Vergessenheit geraten! Die Endzeit ist nah. Unser Volk wird sich beweisen müssen, wenn es jemals Valhalla betreten will!;;¡No caeremos en la oscuridad sin luchar! Los tiempos finales se acercan. Nuestro pueblo debe demostrar su valía si quiere entrar en el Valhala.;;;;;;;;;x
religion_feature_norse_feature;Rulers follow the Norse principles of adventuring and seafaring;Les seigneurs suivent les principes nordiques de l'aventure et de la navigation;Herrscher folgen den nordischen Prinzipien von Abenteuer und Seefahrt;;Los gobernantes siguen los principios nórdicos de aventura y navegación;;;;;;;;;x
religion_feature_slavic;Children of Perun;Enfants de Péroun;Kinder von Perun;;Hijos de Perún;;;;;;;;;x
religion_feature_slavic_desc;All the children of Perun will come together, sharing a new, harmonious understanding of the gods, so that we can live in peace and prosperity with our neighbors.;Tous les enfants de Péroun se rassembleront, partageant une compréhension nouvelle et harmonieuse des dieux, afin que nous puissions vivre dans la paix et la prospérité avec nos voisins.;Alle Kinder von Perun werden zusammenkommen und ein neues, harmonisches Verständnis der Götter teilen, damit wir in Frieden und Wohlstand mir unseren Nachbarn leben können.;;Todos los hijos de Perún vivirán juntos, compartiendo una nueva y armoniosa comprensión de los dioses, para poder vivir en paz y prosperidad con nuestros vecinos.;;;;;;;;;x
religion_feature_slavic_feature;Rulers can move by river and do not suffer Short Reign penalties;Les seigneurs peuvent se déplacer par le les fleuves et ne subissent pas de pénalités de règne court;Herrscher können sich auf Flüssen bewegen und erleiden keine Strafe für kurze Herrschaftszeit;;Los gobernantes pueden moverse por ríos y no sufren penalizaciones por reinado corto;;;;;;;;;x
religion_feature_tengri;Eternal Riders;Chevaucheurs éternels;Ewige Reiter;;Jinetes eternos;;;;;;;;;x
religion_feature_tengri_desc;The Endless Blue Sky beckons our armies to ride forward and spread to the four corners of the world, untamed and unstoppable!;Le ciel bleu sans fin appelle nos armées à aller de l'avant aux quatre coins du monde, indomptables et inarrêtables !;Der endlose blaue Himmel ruft unsere Armee auf, vorwärts zu reiten und sich ungezähmt und unaufhaltsam bis in die vier Ecken der Welt zu verbreiten!;;El Cielo azul infinito llama a nuestros ejércitos a que avancen y se extiendan por las cuatro esquinas del mundo, ¡indomables e imparables!;;;;;;;;;x
religion_feature_tengri_feature;Polygamy is allowed and armies ignore defensive attrition;La polygamie est autorisée et les armées ignorent l'attrition défensive;Polygamie ist erlaubt und Armeen erleiden keine defensive Zermürbung;;La poligamia está permitida y los ejércitos ignoran el desgaste defensivo;;;;;;;;;x
religion_feature_west_african;Totem-Guardians;Gardiens-Totem;Totemwächter;;Guardianes de tótems;;;;;;;;;x
religion_feature_west_african_desc;In order for any spirit to get his due we must make sure that our priestly caste is qualified in all the spells and rituals scattered throughout our old traditions.;Pour que tout esprit obtienne son dû, nous devons nous assurer que notre caste sacerdotale est qualifiée dans tous les sorts et rituels de nos vieilles traditions.;Damit jeder Geist ordnungsgemäß behandelt wird, müssen wir sicherstellen, dass unsere Priesterkaste in allen Zaubersprüchen und Ritualen, die unsere alten Traditionen überliefert haben, qualifiziert ist. ;;Para que un espíritu reciba lo que merece, debemos asegurarnos de que nuestra casta sacerdotal esté calificada en todos los hechizos y rituales repartidos por nuestras viejas tradiciones.;;;;;;;;;x
